Country Name,Country Code,Series Name,Series Code,2017 [YR2017]
Azerbaijan,AZE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,55.343
Azerbaijan,AZE,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,3.47367417990177
Azerbaijan,AZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Azerbaijan,AZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,79
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5
Azerbaijan,AZE,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,5.60736901068842
Azerbaijan,AZE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,49.7017251037138
Azerbaijan,AZE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,12.9359184187335
"Bahamas, The",BHS,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,32442.7229938499
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.632
"Bahamas, The",BHS,"School enrollment, tertiary (% gross)",SE.TER.ENRR,..
"Bahamas, The",BHS,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,90
"Bahamas, The",BHS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,82.925
"Bahamas, The",BHS,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,3.51767673534195
"Bahamas, The",BHS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
"Bahamas, The",BHS,Individuals using the Internet (% of population),IT.NET.USER.ZS,80.6
"Bahamas, The",BHS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.8
"Bahamas, The",BHS,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,0.783708025856644
"Bahamas, The",BHS,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,13.1481526882248
"Bahamas, The",BHS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.51820700736147
Bahrain,BHR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,53859.7749589601
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.689
Bahrain,BHR,"School enrollment, tertiary (% gross)",SE.TER.ENRR,45.1864395141602
Bahrain,BHR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99
Bahrain,BHR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,89.186
Bahrain,BHR,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,22.4872028544097
Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Bahrain,BHR,Individuals using the Internet (% of population),IT.NET.USER.ZS,95.9
Bahrain,BHR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.194
Bahrain,BHR,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,0.27707464645461
Bahrain,BHR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,39.9934662996166
Bahrain,BHR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.38671830576406
Bangladesh,BGD,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,6005.70718781048
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.788
Bangladesh,BGD,"School enrollment, tertiary (% gross)",SE.TER.ENRR,18.5305080413818
Bangladesh,BGD,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,97
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,35.858
